"Sludinājumi


datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"Обявление
Продается машина с надежным двигателем 1.9-81kw. За рулем ездила","A4",1997,"1.9D",419000,1200,"Audi"
"Pardodu labu auto ar jaunu tehnisko apskati. 
Smuks pievilcigs auto bez rus","A4",2008,"2.0D",,4500,"Audi"
"Audi A6 Lim. 2.7 Tdi 132 kW (179 Zs)
Из Германии. 
Возможен обмен. 
Maska","A6",2007,"2.7D",,5670,"Audi"
"Pārdod audi a3. Auto nav jauns bet savu funkciju lieliski pilda.","A3",1997,"1.6",,1300,"Audi"
"Pārdodu A6 kvatro 2.6 Gaze Tehniski labā stavokli vizuālas nepilnības ka jau","Quattro",1994,"2.6",4e+05,1800,"Audi"
"Jauna tehniskā apskate. Audi klassika, oriğinālas audi detaļas, oriğināli au","80",1993,"2.0",330000,1280,"Audi"
"Pārdod sakoptu un ziemai gatavu Audi A6 Allroad 2.7 Biturbo benzīns/gāze.","A6",2000,"2.7",299000,3700,"Audi"
"Nesen nomainīta zobsiksna, eļļa un filtri. 
Labā tehniskā stāvoklī.","A1",2011,"1.6D",245000,7000,"Audi"
"Audi A3 Sportback 1.8Tfsi 118kw. Ādas salons, multistūre, navigācija, parkoš","A3",2009,"1.8",153000,6250,"Audi"
"Pārdodu audi a4 b5 quattro 1.8t , vizuāli un tehniski ideālā stāvoklī. Ja me","Quattro",1995,"1.8",,4600,"Audi"
"2.0Tdi, mehānika, ādas salons, sēdekļi ar apsildi, klimata kontrole, el. log","A3",2004,"2.0D",380000,2290,"Audi"
"S- Line, Face lift, 3.0tdi, Quattro, Led, Bi-Xenons, līkumgaismas, melns s-l","Q7",2009,"3.0D",288000,12990,"Audi"
"Automāts, 2.0i, skaists salons, sēdekļi ar apsildi, klimata kontrole, Lcd in","A4",2001,"2.0",305000,990,"Audi"
"S- Line, 3.0tdi, Quattro, melns s-line recaro pusādas salons, el. reg. sēdek","A6",2006,"3.0D",373000,5790,"Audi"
"S- Line, 3.0tdi, Quattro, melns s-line recaro ādas salons, sēdekļi ar apsild","A6",2008,"3.0D",471000,4990,"Audi"
"2.5tdi, rindinieks vecais labais, mehānika, 5-ātrumi, glīts salons, salons,","A6",1996,"2.5D",287000,1290,"Audi"
"Allroad, Quattro, 2.5Tdi, melns ādas salons, el. reg. sēdekļi ar apsildi, kl","Allroad",2004,"2.5D",402000,2490,"Audi"
"Pārdodu Audi A3 2000.gada 1, 6 benzīns facelift. Manuālā ātrumkārba. Labas M","A3",2000,"1.6",250000,1800,"Audi"
"Pārdodu Audi A4.","A4",1996,"1.6",294000,800,"Audi"
"Pardodu labu darba auto. ekanomisks, paterins lidz 6 litri. jaunas kvelsvece","A4",1996,"1.9D",457000,1350,"Audi"
"Продаю/pardod Audi Q7 3.0 tdi 200 kw, оригинальный пробег, 7-мест, без пневм","Q7",2016,"3.0D",322000,32900,"Audi"
"Audi a4 b5 quattro 1.9tdi 81kw, dzīvs nenodzīts auto , maz rūsējis , jauda l","Quattro",1996,"1.9D",,2200,"Audi"
"Anglu Audi A4 2.0D 2010 gada
Viss darbojas 
Sīkāk telefoniski","A4",2010,"2.0D",,4000,"Audi"
"Pardodu a4 Quattro 171kw labaa stavoklii, jaunas ziemas riepas, restaureta t","A4",2006,"3.0D",260000,4250,"Audi"
"Tiek pārdots audi 1.8 t ar 110kw. Gāzei nepieciesama apkope. Ziemas riepas a","A4",1996,"1.8",5e+05,700,"Audi"
"Pārdod Audi A4 Avant 2.0tdi Quattro S-line
2.0tdi 125kW plus Chiptuning (Jo","A4",2007,"2.0D",392000,4700,"Audi"
"Tiek pārdots audi A3 1.9 Tdi, 96kw, labā tehniskā un vizuālā stāvoklī, auto","A3",2004,"1.9D",,1550,"Audi"
"Tuvojas ziema, Quattro noderēs. 

Numurzīme nepārdodas un neiet kopā ar au","A6",2008,"3.0D",273000,5000,"Audi"
"Ļoti labs auto, lēta apkope. Mazs degvielas patēriņš 4, 8-5, 5l /100km. Virs","A4",2006,"2.0D",322000,3300,"Audi"
"1.9Tdi Facelift 5-Durvis, ādas sēdekļi, klimatkontrole, stereo. 

Rūsas de","A3",2003,"1.9D",262000,890,"Audi"
"Audi Q7 S-Line 2008.Gada , 3.0 dīzelis Quattro, auto neprasa iegūldījumus, l","Q7",2008,"3.0D",263000,8000,"Audi"
"1.9Tdi Sedans, manuāls, klimatkontrole, stereo, lietie diski, tonēti stikli,","A4",2003,"1.9D",329000,1990,"Audi"
"2.7Tdi 6-ātrumu manuāls, ādas sēdekļi, mmi multimēdija, navigācija, ssd, xen","A4",2008,"2.7D",3e+05,3490,"Audi"
"2.7Tdi Mmi navigācija, rekāro sēdekļi ar apsildi, klimatkontrole, stereo, bo","A4",2007,"2.7D",,3790,"Audi"
"Audi A6 pusādas sēdekļi, kondicionieris, multistūre, borta kompjūters, navig","A6",2005,"2.7D",394000,4490,"Audi"
"Led lampas, S-Line Plus. Rekāro sēdekļi ar apsildi, klimatkontrole, stereo,","A5",2008,"2.7D",285000,7990,"Audi"
"3.0Tdi long. Ādas sēdekļi ar apsildi, parkošanās sensori, aizmugurējo logu s","A8",2005,"3.0D",292000,4990,"Audi"
"Tiko izieta apskate, labas ziemas riepas lietotas 1 sezonu. Jāmaina kārba uz","A4",2005,"2.5D",340000,1750,"Audi"
"Audi A4 B6 1.9 tdi 96Kw auto labā tehniskā stāvoklī. Kā jau lietotai automaš","A4",2004,"1.9D",306000,2000,"Audi"
"Pārdod labu, ekonomisku auto. Apkopes veiktas regulāri. Virsū ziemas riepas","A4",2005,"2.0D",356000,2850,"Audi"
"Audi A6, S-Line, 3.0D, 171Kw, Quattro, Automāts, Auto no Itālijas, Sākot no","A6",2006,"3.0D",,3990,"Audi"
"Pārdodu audi a6
Auto labā vizuālā un tehniskā stāvoklī
Šodien dabūju slimī","A6",1997,"2.5D",250000,1000,"Audi"
"Tiek pārdots labs auto, tehniski labā stāvoklī, ir rūsa un sīkie defekti. Pa","A4",1996,"1.8",298000,800,"Audi"
"3.0 Tdi Biturbo 230kw

8 pakāpju Tiptronic automātiskā kārba
Adaptīvās Ma","A6",2013,"3.0D",248000,14600,"Audi"
"Pārdod. 

Audi A4 B7
2007gada
1.9 tdi 85kw
5pkk manuālā ātrumkārba. 
A","A4",2007,"1.9D",376000,3400,"Audi"
"Pārdodu audi 80. Ceļa nodoklis samaksāts. Labas ziemas riepas. Pirms tehnisk","80",1994,"1.9D",209000,1500,"Audi"
"Audi A6 2008. gada, 2.7 litru dīzeli ar manuālu transmisiju. Shadow line.","A6",2008,"2.7D",283000,4700,"Audi"
"Pārdod Audi Q7 3, 0 tdi quattro, nobraukums 261000, trīs gadus atpakał ieves","Q7",2012,"3.0D",261000,17500,"Audi"
"Audi S7, 331Kw/450Zs. 
Auto perfektā vizuālā un tehniskā stāvoklī. 

- Pā","A7",2016,"4.0",124000,38500,"Audi"
"Audi A4 2008. gada, 2.0 litru dīzelis ar manuālu transmisiju. 

A/c
- Kli","A4",2008,"2.0D",,7250,"Audi"
"Audi A4 2006. gada, 2.0 litru dīzelis ar manuālu transmisiju

Auto ar gara","A4",2006,"2.0D",,4900,"Audi"
"Audi A6 2009. gada, 3.0 litru dīzelis ar automātiksu transmisiju. 

- A/c","A6",2009,"3.0D",,8100,"Audi"
"Lētākais 2012g, ar Ta, Skaists, Melns Audi A4, tehniski un vizuāli ļoti labā","A4",2012,"2.0D",404000,7499,"Audi"
"Tiek tirgots labs, uzticams auto, nav sarūsējis, virsbūve dzīva. 96kw motors","A4",2002,"1.9D",389000,1990,"Audi"
"Audi Sq7 4, 0dīzelis 320kW/430zs, automātiskā ātrumkārba. 
Pirmā reģistrāci","Q7",2019,"4.0D",,89900,"Audi"
"Audi A6 2, 7 Tdi, manuālā ātrumkārba. 
Jaunajam īpašniekam tiks izieta jaun","A6",2005,"2.7D",,4500,"Audi"
"S line Audi A6 2, 0 dīzelis 130kW, automātiskā ātrumkārba. 
Auto ļoti labā","A6",2013,"2.0D",,15300,"Audi"
"2.0 Tdi, 103kw 6 ātrumu mehānika. Parkingi, ksenons, kruīza kontrole, apsild","A4",2007,"2.0D",285000,4200,"Audi"
"Audi A6 facelift 3.0tdi 176kw quattro, labā stāvoklī, manā īpašumā 5 gadus,","A6",2009,"3.0D",417000,5500,"Audi"
"Ja vēlies jaudīgu un tajā pašā laikā ekonomisku auto, šis Audi ir priekš tev","A6",2007,"3.2",329000,3200,"Audi"
"Automašīna iegāda Latvijā Audi centrā. 
Automašīnas aprīkojums:
Automātisk","Q5",2021,"2.0",16000,55900,"Audi"
"Sveiki. Audi ir oriģināli bijis 2, 7 bit quattro. Dzinejs pilnībā pārbūvēts","Quattro",1999,"2.7",350000,6500,"Audi"
"Labie vecie Audi Quattro, tehniski labaa stavokli, tiko parkrasota samainiti","Quattro",1996,"2.5D",413000,4500,"Audi"
"2018 izlaiduma gads. 
Pvn 21% iekļauts cenā. 
Pārbaudīts automobīlis ar go","A6",2018,"2.0D",135000,23723,"Audi"
"Tiko izietu Tehnisko apskati 103 KW ļoti ekonomisks un dinamisks auto. 
Atr","A4",2005,"2.0D",407000,2450,"Audi"
"Audi A6 Allroad ar 3.0 litru dīzeļdzinēju un automātisko transmisiju
Automā","Allroad",2008,"3.0D",264000,7970,"Audi"
"Audi A6 Limousine 2.4 V6 M/t. 2007. gada. 2.4l benzīns, 130 Kw (177 Hp).","A6",2007,"2.4",64000,11500,"Audi"
"Audi A6 S-Line Quattro, 3.0Tdi dīzeļa dzinējs, 232 Zs (171kw), Quattro pilnp","A6",2006,"3.0D",240000,5990,"Audi"
"Pārdodu audi A4, priekšpiedziņa, 1.9 tdi, motora kods Afn, 81kw. Vecais laba","A4",1999,"1.9D",396000,1000,"Audi"
"Tikko no Vācijas. Pārdod Audi A3 ar dinamisku un ekonomisku 2.0Tdi, 103kW dz","A3",2004,"2.0D",280000,3850,"Audi"
"Audi A4 avant. 81kw. 110z/s. vecais labais sūkņa motors strāda labi. jauda p","A4",1997,"1.9D",,1550,"Audi"
"Pārdod Audi 100 2.3 10v Quattro 

-Diski R14

-Nerūc, nav dzirkstele, va","Quattro",1989,"2.3",,900,"Audi"
"Только из Голандии отличное состояние новый техосмотр 3.0 д 165 киловат зимн","A6",2006,"3.0D",,5150,"Audi"
"Audi, A6, 3.0 dīzelis automāts, sedans, tikko no vācijas, pie iegādes garant","A6",2011,"3.0D",,12990,"Audi"
"Audi, A6, 2.7 dīzelis automāts, tikko reģistrēts un ar svaigu tehnikso apska","A6",2006,"2.7D",,4250,"Audi"
"Automāts, labā tehniskā un vizuālā stāvoklī, veiktas visas nepieciešamās apk","A6",2004,"1.9D",,3570,"Audi"
"Tikko no Vācijas. Ļoti labā tehniskā un vizuālā stāvoklī. Cenā iekļauta reģi","A6",2008,"2.7D",237000,5850,"Audi"
"Tiek tirgots Audi A4 B6 1.9 Tdi 96kw. Auto tehniski labā stāvoklī ar labām z","A4",2001,"1.9D",4e+05,1800,"Audi"
"Audi a6c5 2, 8i 30v benzīns/gāze, quattro, manuālis, jauna ełła motoram, jau","Quattro",1998,"2.8",321000,2600,"Audi"
"Pārdodu normālu audī kurš tiek izmantots ikdienā. Kondicionieris strādā, sva","A6",2004,"1.9D",434000,1350,"Audi"
"Jaunā apskate. 
Darbam neko labāku nevar gribēt. Kvatro strādā. Lets, Ripo","A6",1999,"2.5D",,1100,"Audi"
"Quattro. Автомобиль в идеальном состоянии как технически, так и внешне. Небо","A6",2014,"3.0D",178000,16500,"Audi"
"Audi Q7 3.0 Tdi

200kW

Auto nav bijis iesaistīts negadījumos, 
Apkopes","Q7",2015,"3.0D",239000,32950,"Audi"
"Sveiki. Pārdodu uzticamu auto - Audi A3. 

Tātad auto ievests no Vācijas u","A3",2008,"1.9D",245000,5700,"Audi"
"Svaiga skate , nodokli nomaksāti
103kw 
Ael 
Quattro turbo , cinkots 
Ti","Quattro",1996,"2.5D",510000,3850,"Audi"
"В связи с покупкой новой машины, продаётся A6 Allroad
Ухоженный авто в отли","A6",2012,"3.0",275000,13500,"Audi"
"В связи с покупкой новой машины, продаётся очень ухоженный авто в отличном т","Allroad",2012,"3.0",275000,13500,"Audi"
"Audi A6 2.0 Dīzelis 2016. gads
Ļoti ekonomisks auto 4.4 l/100km uz šosejas,","A6",2016,"2.0D",170000,18500,"Audi"
"Audi A3 Sportback 2.0Tdi 110kW. Тех. осмотр до 07.11.2023, без замечаний. То","A3",2013,"2.0D",193000,12300,"Audi"
"Audi A4 b7 S-Line 2006.Gada , 2.7 dīzelis, auto neprasa iegūldījumus, labā t","A4",2006,"2.7D",,4490,"Audi"
"Audi A4 Cabriolet Automāts

Dzinēja tilpums: 1.8 Turbo
Jauda: 120 кw / 16","A4",2007,"1.8",234000,5600,"Audi"
"Audi A4 No Francijas Latvijā nav lietota .

Dzinēja tilpums: 2.0 Tdi
Jaud","A4",2011,"2.0D",231000,8400,"Audi"
"Tikko no Vācijas Audi A6 , 2.7Tdi 6 ātrumu manuālā pārnesumkārba 132Kw/178zs","A6",2006,"2.7D",278000,3800,"Audi"
"Audi A3, 2.0Tdi, 2005.Gada 103kw motors, labā tehniskā, gan vizuālā stāvoklī","A3",2005,"2.0D",,3750,"Audi"
"Audi A6C6 2.0d manuālā ātrumkārba, ādas salons, melnie griesti, xenons led l","A6",2005,"2.0D",294000,4500,"Audi"
"Audi A4 Avant 2.0 Tdi, 105kw / 143zs, Automātiskā ātrumkārba

Aprīkojums:","A4",2011,"2.0D",242000,8700,"Audi"
"Auto labā vizuālā un tehniskā stāvoklī. A4 2005. gada 2.5tdi 6 ātrumu manuāl","A4",2005,"2.5D",,2225,"Audi"
"Audi Q5 S-Line 2.0 Dizels Quattro 125 kW Automāts, 

Perfekta tehniskā un","Q5",2010,"2.0D",,12490,"Audi"
"Audi A6 3.0 Tdi quattro (272 Zs) ar automātisko pārnesumkārbu. 
Oriģināls n","A6",2015,"3.0D",113000,23000,"Audi"
"Pārdod koptu Audi A8 Quatro 2007 gada 3, 0Dīzelis. 
Tīrs nesaplēsts salons.","A8",2007,"3.0D",227000,7650,"Audi"
"Perfekta tehniskā un vizuālā stavokli2.5 tdi Bau. 132kw. 4x4 karba un dzinej","A4",2004,"2.5D",,2750,"Audi"
"Audi A4 ar 2.0 litru dīzeļdzinēju un 6 pārnesumu manuālo transmisiju. 
Komf","A4",2006,"2.0D",,4900,"Audi"
"Pārdodu Audi A3, S-line, 1.9Tdi (96 kW), 280000 Km nobraukums. Jauna tehnisk","A3",2003,"1.9D",280000,2550,"Audi"
"Audi A8 Quattro ar 3.0 litru dīzeļdzinēju un automātisko transmisiju. 
Eleg","A8",2012,"3.0D",,19200,"Audi"
"Audi A4.2.0Tdi. 103Kw. -140лс. Из Германии. Новый Т. О. В отличном техническ","A4",2007,"2.0D",,4250,"Audi"
"Audi A6 ar mehnisko pārnesumkārbu. 2005.gads. 
2.0 dīzelis(103 kW)
Originā","A6",2005,"2.0D",242000,3899,"Audi"
"Tiek tirgots cigārs, oriģināls 2.5tdi 1t. Motors darbojas. Sataisīta visa ha","100",1990,"2.5D",540000,1200,"Audi"
"Pārdodas laps un kopts auto 
Ievests no Francijas pus gadu atpakaļ 
Eļļas,","Q5",2009,"3.0D",245000,12555,"Audi"
"Audi A4 avant. 81kw. 110z/s. vecais labais sukņa motors. iedarbinas labi un","A4",1997,"1.9D",,1430,"Audi"
"88kw. , из Германии.","A4",2009,"2.0D",272000,6850,"Audi"
"Tiek pārdots labi kopts, uzticams auto. Apkopes vienmēr veiktas laicīgi, nom","Q5",2009,"2.0D",313000,10500,"Audi"
"Pārdodam automašīnu Audi A6.

Automašīnas aprīkojums: Elektronika: Borta d","A6",2008,"3.0D",227000,7650,"Audi"
"Automats. laba tehniska un vizuala stavokli, ziemas riepas. Хороший надежный","A6",2002,"2.4",,1100,"Audi"
"Pārdod Audi A5 Sportback Quattro, 3.0 Tdi V6.

Auto ļoti labā tehniskajā u","A5",2017,"3.0D",155000,31400,"Audi"
"Ja meklē uzticamu, dinamisku, manevrīgu auto, kurš nepievils, tad te tas ir.","A3",2006,"2.0D",292000,3999,"Audi"
"Pārdodu labi saglabājušos Audi a4b7
Motors-2.7tdi 132 kw/180 zs
Kārba - 6","A4",2007,"2.7D",290000,4700,"Audi"
"Audi Q5 40Tdi Quattro S-Line 2.0Tdi 140kw-190zs

Servisa vēsture

Cena a","Q5",2019,"2.0D",174000,35995,"Audi"
"Tikko jauna Ta, 2.5Tdi S-Line, 6-Ātr. , Xenons, Navigācija, Ādas Salons, Kru","A6",2002,"2.5D",,1890,"Audi"
"Pārdodu koptu Audi A8. pirms 2 gadiem nopirkts Vācijā. Viens īpašnieks Latvi","A8",2002,"4.2",244000,5800,"Audi"
"1.6 Tdi , 4 durvis, automāts. Tikko no Francijas. Piereģistrēts un izieta te","A1",2012,"1.6D",226000,8990,"Audi"
"Līzings/maiņa. Jauna T. A. - 11.2023. Quattro. A4 B7 3.0tdi. Auto labā tehni","A4",2004,"3.0D",278000,3190,"Audi"
"Audi A6, S-Line, 3.0D, 171Kw, Quattro, Automāts, Tikko no Itālijas, Bez pirm","A6",2008,"3.0D",,5990,"Audi"
"Pardodu uzticamu audi sakara ar finansu trukumu. auto nav jauns un tam ir ga","80",1992,"2.0",411000,650,"Audi"
"Pārdodas ļoti labs audi 4x4 vizuālā un tehniskā stāvoklī .
Svaigā tehniskā","Allroad",2010,"3.0D",211000,10800,"Audi"
"Tiko izieta apskate, 4x4 strādā. 2, 6 motors ar gāzes iekārtu patērē 10 euro","Quattro",1995,"2.6",433000,2300,"Audi"
"Audi A4 2.0dizel 103kw, 2005г, S-line, чёрный потолок, пробег 297000km, конд","A4",2005,"2.0D",,3700,"Audi"
"Pārdodu Audi Q5, labā tehniskā stāvoklī. Latvijā no 2012 gada. Ir webasta ar","Q5",2009,"3.0D",257000,12500,"Audi"
"Продаётся нормальная ауди. 
Бенз/газ работает как на бензине так и на газе,","A6",1999,"1.8",282000,1350,"Audi"
"No Vācijas Audi A6 S-Line 3.0Tdi Biturbo 230Kw 313Zs. Quattro 2012G. Izl. Au","A6",2012,"3.0D",270000,17500,"Audi"
"В отличном техническом состоянии Г. Р. М. заменен возможен обмен на А/м деше","A4",2000,"2.5D",307000,1950,"Audi"
"В отличном техническом состоянии аккумулятор новый резина зимняя 6-7мм т. о","80",1995,"2.0",287000,1000,"Audi"
"Tikko no Vacijas Audi A-6. S-Line Quattro 3.0Tdi(165Kw-225Z/s) ideala stavok","A6",2006,"3.0D",,5750,"Audi"
"A3 Sportback, 2.0Tdi, 103kw/140zs, Latvijā nav ekspluatēts. 
Ļoti labā tehn","A3",2007,"2.0D",242000,5250,"Audi"
"Audi A2, 1.4i, 55kw/75zs, 
Labā tehniskā kārtībā. 

Bezmaksas pārrakstīsi","A2",2001,"1.4",237000,1750,"Audi"
"Tikko no Vācijas. 
Audi A6 Quattro 2.7l dīzelis. 132Kw
Latvijā nav eksplua","A6",2006,"2.7D",3e+05,4890,"Audi"
"Audi TT 1.8 benzīns/gāze. 132Kw
Tehniskā apskate derīga līdz 10.2023
Vid.","TT",1998,"1.8",,3190,"Audi"
"Audi A4 Allroad Quattro 2.0l dīzelis. 125Kw
Tehniskā apskate derīga līdz 10","A4",2009,"2.0D",,6990,"Audi"
"Audi S5 Sportback, ideālā stāvoklī, visas iespējamās ekstras, kameras priekš","S5",2017,"3.0",145000,40000,"Audi"
"Audi A6, Sportpaket, 3.0D, Quattro, Automāts, Svaiga Tehniskā Apskate, Kredī","A6",2006,"3.0D",,4490,"Audi"
"Audi Q5 Quattro, 130kw Facelift. Auto ir labā stāvoklī ar vispilnāko komplek","Q5",2013,"2.0D",,12500,"Audi"
"Audi A4 quattro 3.0 dizel nesen no Vācijas. Laba vizuala un tehniski stavokl","A4",2016,"3.0D",,19799,"Audi"
"Audi A5 2.7Tdi S-line 

Auto no Franijas. 
Ļoti labā stavokī. 
Gada nodo","A5",2008,"2.7D",285000,7800,"Audi"
"Sveiki tirgoju labā stāvoklī Audi A4 B6 ar Jaunu TA un Ādas beņķiem labā stā","A4",2003,"1.9D",346000,2450,"Audi"
"Audi A6 C5 ar Pilnīgi Jaunu Tehnisko apskati 10.10.2023.
Protams, ar veco l","A6",1999,"1.9D",,1900,"Audi"
"Audi Q5 Quattro ar 3.0 litru dīzeļdzinēju un automātisko transmisiju. 
Pārd","Q5",2009,"3.0D",,13000,"Audi"
"Auto no Nīderlandes. Audi A6 Limousine, 2.0Tdi, 2013.Gada, Manuāls, Nobrauku","A6",2013,"2.0D",,14999,"Audi"
"Auto perfekta stavokli, kopts un lolots. 
Audi A6 3.0Tdi S-Line / 315 H/p.","A6",2014,"3.0D",132000,18000,"Audi"
"Tikko ievests. Audi a6 Avant Quattro, S-Line. 3, 0Tdi. Servisa vesture, piln","A6",2014,"3.0D",,15995,"Audi"
"Cena pēdēja. Quattro, Pilns rs6 salons, pilns s-line, r20 ar barum riepām(ot","A6",2015,"3.0D",2e+05,19900,"Audi"
"Машину любили. 
Замена прокладок всего двигателя. 
Только что замена турби","A4",2000,"1.9D",337000,2050,"Audi"
"184000km oriģinālais nobraukums. Audi A5 2.7tdi automāts no Beļģijas. Led/xe","A5",2008,"2.7D",184000,9390,"Audi"
"Audi A4 Avant 2.7l dīzelis. 140Kw
Jauna TA
Visa ekoloģija strādā
Dūmainīb","A4",2010,"2.7D",252000,7350,"Audi"
"3.0Tdi 180kw Quattro. Nakts redzamības kamera, s-line rekāro pusādas sēdekļi","A6",2011,"3.0D",379000,12990,"Audi"
"3.0Tdi Quattro. Rekāro ādas sēdekļi ar apsildi, klimatkontrole, navigācija,","A6",2005,"3.0D",371000,3490,"Audi"
"Audi exclusive. Rekāro sēdekļi ar atmiņu, navigācija, multistūre, klimatkont","A6",2006,"2.7D",345000,5990,"Audi"
"Pārdodu audi a6 1.9tdi 96kw, laba tehniska un vizuāla stāvokli, svaiga TĀ ,","A6",2003,"1.9D",326000,3200,"Audi"
"Audi A4 2.0 tdi, 103Kw/140Zs. 

Moller Auto Ventspils Piedāvā:
Elektronis","A4",2008,"2.0D",342000,3950,"Audi"
"Продаю машину Ауди А3 S line. В очень хорошем состоянии. Отличная комплектац","A3",2005,"2.0",210000,3900,"Audi"
"Audi Q5 Quattro 2.0Tdi, Cena ar Pvn;

Moller Auto Ventspils Piedāvā:
Elek","Q5",2017,"2.0D",108000,33700,"Audi"
"Audi Sq8 Quattro 4.0D teicamā vizuālā un tehniskā stāvoklī. A/m atrodas Rīgā","Q8",2020,"4.0D",1e+05,110000,"Audi"
"Audi Q7 Quattro 3.0D labā vizuālā un tehniskā stāvoklī. A/m atrodas Rīgā un","Q7",2017,"3.0D",174000,41900,"Audi"
"Quattro, tikko no Vācijas. 1.9 Tdi, manuāla 6 ātrumkārba. Jauna tehniskā aps","A4",2002,"1.9D",240000,3800,"Audi"
"Pārdevējs autrizētais Toyota servisa centrs, Automašīna Tiko no Vācijas, 1.6","A3",2006,"1.6",321000,3500,"Audi"
"Tiko izieta pilnīgi jauna tehniskā apskate. Automašīna apskatāma Toyota serv","A8",2005,"4.2",359000,5100,"Audi"
"Audi A4 1.9Tdi 81kw (vecais labais sūkņa motors) Motora kods Afn. 

Prakti","A4",1997,"1.9D",390000,1350,"Audi"
"Jaunā Tā. Pārdošana audi a8 3, 7 benzīns automāts. Laba stāvoklī, nomainītas","A8",1996,"3.7",337000,1600,"Audi"
"2.7 Bi-Turbo. idealais stavoklis","Allroad",2001,"2.7",213000,8700,"Audi"
"Audia A8 2012 года первая регистрация, 3.0 Tdi (250 лс. ), автомат 8 ступенч","A8",2012,"3.0D",314000,19850,"Audi"
"Pārdodu Audi A3, 1.9Tdi (74kW). 
Stabila, ekonomiska un dinamiska. 
Tehnis","A3",2003,"1.9D",358000,2300,"Audi"
"Pārdodu ļoti labi uzturētu un koptu audi allroad. 2003g. 2.5tdi 132Kw motora","Allroad",2003,"2.5D",369000,2900,"Audi"
"Продаю машину в хорошем состоянии. Все интересующие вопросы по телефону.","A8",2000,"2.5D",365000,2550,"Audi"
"Pārdodu audi A4 2.7tdi 132kW manuāls 2006. gads. 
 
Mašīna manā īpašumā bi","A4",2006,"2.7D",234000,3900,"Audi"
"Auto ir labā tehniskā un vizuālā stāvoklī. 

Gada sākumā atvests no Vācija","A4",2006,"2.5D",242000,3150,"Audi"
"Продаётся машина, в хорошем, рабочем состоянии. Хорошая всесезонная резина c","A4",2000,"1.9D",365000,1350,"Audi"
"Sakarā ar jauna Audī iegādi tiek pārdodu audi A3 Sportback 1.9 Tdi. Tiko izi","A3",2008,"1.9D",,3500,"Audi"
"Audi A6 S-line 2.0 Tdi (190 Zs) ar automātisko pārnesumkārbu. 

Orģināla u","A6",2018,"2.0D",207000,27000,"Audi"
"Pārdodu Audi A6, C6, 2.0D , Automātisko Kārbu. Universāls. Pirmā reģistrācij","A6",2009,"2.0D",417000,5590,"Audi"
